date,fname,male,female
2012-04-12 19:49:58,janina,False,True
2012-04-29 19:56:00,leanne,False,True
2012-05-06 12:24:44,benjamin,True,False
2012-05-15 18:48:51,christian,True,False
2012-05-15 21:54:38,pierre,True,False
2012-05-18 18:34:08,brendan,True,False
2012-05-20 16:55:30,justine,False,True
2012-06-07 19:51:06,martin,True,False
2012-06-08 19:28:20,matthieu,True,False
2012-06-26 08:42:45,benoit,True,False
2012-06-26 08:42:52,term,False,False
2012-06-29 14:57:13,robin,True,False
2012-07-03 11:39:49,gregoire,True,False
2012-07-07 12:16:13,nic,True,False
2012-07-30 09:20:04,thomas,True,False
2012-07-30 10:06:22,matthieu,True,False
2012-07-30 10:34:34,timothee,True,False
2012-08-01 10:45:23,louis,True,False
2012-08-01 22:29:41,clement,True,False
2012-08-02 08:46:16,joris,True,False
2012-08-05 10:50:52,loic,True,False
2012-08-06 19:11:50,corine,False,True
2012-08-07 21:12:55,emma,False,True
2012-08-10 10:57:15,samuel,True,False
2012-08-11 01:50:58,celestine,False,True
2012-08-16 11:14:43,charlou,True,False
2012-08-19 19:45:42,jean-baptiste,True,False
2012-08-20 09:52:59,matthieu,True,False
2012-08-24 15:40:31,paul,True,False
2012-08-24 17:13:04,henri,True,False
2012-08-26 20:37:01,antoine,True,False
2012-08-29 04:57:05,stephane,True,False
2012-08-29 16:01:37,antonio,True,False
2012-08-30 05:59:04,guillaume,True,False
2012-09-02 15:53:15,mathilde,False,True
2012-09-09 14:07:28,laurent,True,False
2012-09-09 15:26:18,alexia,False,True
2012-09-11 21:02:08,joseph,True,False
2012-09-11 21:02:15,victor,True,False
2012-09-12 17:40:01,evelyne,False,True
2012-09-14 20:46:50,morgane,False,True
2012-09-14 20:46:52,aurelie,False,True
2012-09-14 20:46:54,marie,False,True
2012-09-14 20:52:41,benjamin,True,False
2012-09-15 12:55:27,florian,True,False
2012-09-15 13:30:55,zoe,False,True
2012-09-15 13:37:08,lucie,False,True
2012-09-15 14:15:38,alexandre,True,False
2012-09-15 14:26:05,clementine,False,True
2012-09-15 16:15:15,el,True,False
2012-09-15 16:51:39,lucille,False,True
2012-09-15 18:39:32,gaelle,False,True
2012-09-15 21:39:31,zoe,False,True
2012-09-16 07:45:58,manon,False,True
2012-09-18 19:27:56,may-line,False,True
2012-09-18 19:46:55,clemence,True,False
2012-09-18 19:56:00,elise,False,True
2012-09-18 20:07:36,emma,False,True
2012-09-18 20:09:12,celine,False,True
2012-09-18 20:15:03,louise,False,True
2012-09-18 20:30:13,laetitia,False,True
2012-09-18 20:39:28,madeleine,False,True
2012-09-18 21:41:19,cath,False,True
2012-09-19 05:18:29,pauline,False,True
2012-09-19 11:23:23,marie,False,True
2012-09-19 11:34:16,lea,False,True
2012-09-20 05:09:34,emile,True,False
